Mes_Servicio,DMU_Servicio,CEM_Porcentaje_Error,servicio,DOE_Prom_Mensual,MA_Potencial_Perdido,Segmento
12.0,0.0,0.3229166666666667,9600.0,248.95833333333334,0.0,AGRICOLA
1.0,0.0,0.4814814814814815,8100.0,66.16666666666667,7850.0,AGRICOLA
4.0,0.0,0.3448275862068966,8700.0,66.16666666666667,7850.0,AGRICOLA
5.0,0.0,0.3655913978494624,9300.0,66.16666666666667,7850.0,AGRICOLA
6.0,0.0,0.44047619047619047,8400.0,66.16666666666667,7850.0,AGRICOLA
4.0,31.0,0.3229166666666667,9600.0,66.16666666666667,7850.0,AGRICOLA
,,,,0.0,0.0,AGRICOLA
2.0,0.0,1.625,2400.0,0.0,5100.0,AGRICOLA
3.0,0.0,1.4814814814814816,2700.0,0.0,5100.0,AGRICOLA
4.0,184.0,3.833333333333333,4800.0,0.0,5100.0,AGRICOLA
5.0,0.0,0.1929824561403509,5700.0,0.0,5100.0,AGRICOLA
5.0,0.0,0.9444444444444444,3600.0,0.0,5100.0,AGRICOLA
6.0,0.0,0.45454545454545453,3300.0,0.0,5100.0,AGRICOLA
6.0,0.0,0.6,4500.0,0.0,5100.0,AGRICOLA
6.0,0.0,0.20512820512820512,3900.0,0.0,5100.0,AGRICOLA
10.0,0.0,1.2333333333333334,3000.0,0.0,5100.0,AGRICOLA
1.0,0.0,0.6166666666666667,6000.0,0.0,5100.0,AGRICOLA
1.0,0.0,0.6349206349206349,6300.0,0.0,5100.0,AGRICOLA
1.0,0.0,0.49382716049382713,8100.0,0.0,5100.0,AGRICOLA
3.0,0.0,0.09090909090909091,6600.0,0.0,5100.0,AGRICOLA
4.0,0.0,0.4492753623188406,6900.0,0.0,5100.0,AGRICOLA
7.0,0.0,0.45333333333333337,7500.0,0.0,5100.0,AGRICOLA
8.0,111.0,1.4230769230769231,7800.0,0.0,5100.0,AGRICOLA
9.0,0.0,0.4761904761904762,8400.0,0.0,5100.0,AGRICOLA
10.0,0.0,0.45977011494252873,8700.0,0.0,5100.0,AGRICOLA
11.0,124.0,1.7222222222222223,7200.0,0.0,5100.0,AGRICOLA
11.0,0.0,0.4444444444444444,9000.0,0.0,5100.0,AGRICOLA
12.0,0.0,0.43010752688172044,9300.0,0.0,5100.0,AGRICOLA
3.0,0.0,0.7708333333333334,4800.0,169.5,0.0,AGRICOLA
4.0,0.0,0.0,6600.0,169.5,0.0,AGRICOLA
4.0,4.0,0.0784313725490196,5100.0,169.5,0.0,AGRICOLA
5.0,0.0,0.0,6900.0,169.5,0.0,AGRICOLA
5.0,0.0,3.111111111111111,5400.0,169.5,0.0,AGRICOLA
6.0,0.0,0.0,4200.0,169.5,0.0,AGRICOLA
6.0,194.0,3.2333333333333334,6000.0,169.5,0.0,AGRICOLA
6.0,0.0,0.0,5700.0,169.5,0.0,AGRICOLA
9.0,0.0,0.0,7200.0,169.5,0.0,AGRICOLA
11.0,119.0,2.6444444444444444,4500.0,169.5,0.0,AGRICOLA
1.0,0.0,0.41333333333333333,7500.0,169.5,0.0,AGRICOLA
3.0,0.0,0.0,7800.0,169.5,0.0,AGRICOLA
4.0,0.0,0.0,9000.0,169.5,0.0,AGRICOLA
5.0,0.0,0.0,8100.0,169.5,0.0,AGRICOLA
6.0,0.0,0.43010752688172044,9300.0,169.5,0.0,AGRICOLA
8.0,0.0,0.0,8700.0,169.5,0.0,AGRICOLA
12.0,0.0,0.0,8400.0,169.5,0.0,AGRICOLA
3.0,247.0,6.861111111111111,3600.0,38.125,0.0,AGRICOLA
5.0,37.0,0.41111111111111115,9000.0,38.125,0.0,AGRICOLA
5.0,547.0,16.575757575757578,3300.0,38.125,0.0,AGRICOLA
6.0,2947.0,327.4444444444444,900.0,38.125,0.0,AGRICOLA
6.0,117.0,3.0,3900.0,38.125,0.0,AGRICOLA
6.0,0.0,0.2857142857142857,4200.0,38.125,0.0,AGRICOLA
7.0,847.0,28.233333333333334,3000.0,38.125,0.0,AGRICOLA
3.0,0.0,0.40860215053763443,9300.0,38.125,0.0,AGRICOLA
9.0,0.0,0.4444444444444444,9000.0,20.916666666666668,0.0,AGRICOLA
11.0,128.0,1.471264367816092,8700.0,20.916666666666668,0.0,AGRICOLA
4.0,140.0,3.5897435897435894,3900.0,16.666666666666668,0.0,AGRICOLA
5.0,85.0,1.7708333333333333,4800.0,16.666666666666668,0.0,AGRICOLA
6.0,153.0,4.636363636363637,3300.0,16.666666666666668,0.0,AGRICOLA
6.0,153.0,5.666666666666666,2700.0,16.666666666666668,0.0,AGRICOLA
12.0,0.0,0.0,5100.0,16.666666666666668,0.0,AGRICOLA
1.0,172.0,3.185185185185185,5400.0,16.666666666666668,0.0,AGRICOLA
2.0,0.0,0.0,5700.0,16.666666666666668,0.0,AGRICOLA
3.0,0.0,0.0,6000.0,16.666666666666668,0.0,AGRICOLA
4.0,0.0,0.0,6300.0,16.666666666666668,0.0,AGRICOLA
5.0,15.0,0.22727272727272727,6600.0,16.666666666666668,0.0,AGRICOLA
6.0,280.0,3.5897435897435894,7800.0,16.666666666666668,0.0,AGRICOLA
7.0,0.0,0.0,7200.0,16.666666666666668,0.0,AGRICOLA
8.0,500.0,6.666666666666667,7500.0,16.666666666666668,0.0,AGRICOLA
9.0,0.0,0.49382716049382713,8100.0,16.666666666666668,0.0,AGRICOLA
10.0,0.0,0.0,8400.0,16.666666666666668,0.0,AGRICOLA
